"Campaign","Ad Group","Keyword","Match Type","Final URL","Status"
"DE_Search_Teilehandel_Beratung","ERP","erp autoteilehandel","Exact","https://partsunion.de/lp/erp-autoteilehandel","Paused"
"DE_Search_Teilehandel_Beratung","ERP","erp autoteilehandel","Phrase","https://partsunion.de/lp/erp-autoteilehandel","Paused"
"DE_Search_Teilehandel_Beratung","ERP","erp software autoteilehandel","Exact","https://partsunion.de/lp/erp-autoteilehandel","Paused"
"DE_Search_Teilehandel_Beratung","ERP","erp software autoteilehandel","Phrase","https://partsunion.de/lp/erp-autoteilehandel","Paused"
"DE_Search_Teilehandel_Beratung","ERP","erp fahrzeugteilehandel","Exact","https://partsunion.de/lp/erp-autoteilehandel","Paused"
"DE_Search_Teilehandel_Beratung","ERP","erp fahrzeugteilehandel","Phrase","https://partsunion.de/lp/erp-autoteilehandel","Paused"
"DE_Search_Teilehandel_Beratung","ERP","erp teilehandel","Exact","https://partsunion.de/lp/erp-autoteilehandel","Paused"
"DE_Search_Teilehandel_Beratung","ERP","erp teilehandel","Phrase","https://partsunion.de/lp/erp-autoteilehandel","Paused"
"DE_Search_Teilehandel_Beratung","ERP","software autoteilehandel","Exact","https://partsunion.de/lp/erp-autoteilehandel","Paused"
"DE_Search_Teilehandel_Beratung","ERP","software autoteilehandel","Phrase","https://partsunion.de/lp/erp-autoteilehandel","Paused"
"DE_Search_Teilehandel_Beratung","ERP","software für autoteilehändler","Exact","https://partsunion.de/lp/erp-autoteilehandel","Paused"
"DE_Search_Teilehandel_Beratung","ERP","software für autoteilehändler","Phrase","https://partsunion.de/lp/erp-autoteilehandel","Paused"
"DE_Search_Teilehandel_Beratung","ERP","kfz teilehandel software","Exact","https://partsunion.de/lp/erp-autoteilehandel","Paused"
"DE_Search_Teilehandel_Beratung","ERP","kfz teilehandel software","Phrase","https://partsunion.de/lp/erp-autoteilehandel","Paused"
"DE_Search_Teilehandel_Beratung","ERP","branchensoftware autoteilehandel","Exact","https://partsunion.de/lp/erp-autoteilehandel","Paused"
"DE_Search_Teilehandel_Beratung","ERP","branchensoftware autoteilehandel","Phrase","https://partsunion.de/lp/erp-autoteilehandel","Paused"
"DE_Search_Teilehandel_Beratung","ERP","software ersatzteilehandel","Exact","https://partsunion.de/lp/erp-autoteilehandel","Paused"
"DE_Search_Teilehandel_Beratung","ERP","software ersatzteilehandel","Phrase","https://partsunion.de/lp/erp-autoteilehandel","Paused"
"DE_Search_Teilehandel_Beratung","Warenwirtschaft","warenwirtschaft autoteilehandel","Exact","https://partsunion.de/lp/warenwirtschaft-autoteilehandel","Paused"
"DE_Search_Teilehandel_Beratung","Warenwirtschaft","warenwirtschaft autoteilehandel","Phrase","https://partsunion.de/lp/warenwirtschaft-autoteilehandel","Paused"
"DE_Search_Teilehandel_Beratung","Warenwirtschaft","warenwirtschaft kfz teilehandel","Exact","https://partsunion.de/lp/warenwirtschaft-autoteilehandel","Paused"
"DE_Search_Teilehandel_Beratung","Warenwirtschaft","warenwirtschaft kfz teilehandel","Phrase","https://partsunion.de/lp/warenwirtschaft-autoteilehandel","Paused"
"DE_Search_Teilehandel_Beratung","Warenwirtschaft","warenwirtschaft fahrzeugteilehandel","Exact","https://partsunion.de/lp/warenwirtschaft-autoteilehandel","Paused"
"DE_Search_Teilehandel_Beratung","Warenwirtschaft","warenwirtschaft fahrzeugteilehandel","Phrase","https://partsunion.de/lp/warenwirtschaft-autoteilehandel","Paused"
"DE_Search_Teilehandel_Beratung","Warenwirtschaft","wawi autoteilehandel","Exact","https://partsunion.de/lp/warenwirtschaft-autoteilehandel","Paused"
"DE_Search_Teilehandel_Beratung","Warenwirtschaft","wawi autoteilehandel","Phrase","https://partsunion.de/lp/warenwirtschaft-autoteilehandel","Paused"
"DE_Search_Teilehandel_Beratung","Warenwirtschaft","warenwirtschaft ersatzteilehandel","Exact","https://partsunion.de/lp/warenwirtschaft-autoteilehandel","Paused"
"DE_Search_Teilehandel_Beratung","Warenwirtschaft","warenwirtschaft ersatzteilehandel","Phrase","https://partsunion.de/lp/warenwirtschaft-autoteilehandel","Paused"
"DE_Search_Teilehandel_Beratung","Warenwirtschaft","warenwirtschaft teilehandel","Exact","https://partsunion.de/lp/warenwirtschaft-autoteilehandel","Paused"
"DE_Search_Teilehandel_Beratung","Warenwirtschaft","warenwirtschaft teilehandel","Phrase","https://partsunion.de/lp/warenwirtschaft-autoteilehandel","Paused"
"DE_Search_Teilehandel_Beratung","Warenwirtschaft","lagerverwaltung autoteilehandel","Exact","https://partsunion.de/lp/warenwirtschaft-autoteilehandel","Paused"
"DE_Search_Teilehandel_Beratung","Warenwirtschaft","lagerverwaltung autoteilehandel","Phrase","https://partsunion.de/lp/warenwirtschaft-autoteilehandel","Paused"
"DE_Search_Teilehandel_Beratung","Warenwirtschaft","warenwirtschaftssystem autoteile","Exact","https://partsunion.de/lp/warenwirtschaft-autoteilehandel","Paused"
"DE_Search_Teilehandel_Beratung","Warenwirtschaft","warenwirtschaftssystem autoteile","Phrase","https://partsunion.de/lp/warenwirtschaft-autoteilehandel","Paused"
